Emoid,Epoch,H,q,Q,Class,Discovery date
0.04968,2017-02-16,25,0.639,1.067,Aten,2017-03-02
0.00586,2017-02-16,27.6,0.756,1.24,Aten,2017-02-27
0.01912,2017-02-16,27.3,0.81,1.066,Aten,2017-02-24
0.00051,2017-02-16,22.1,0.709,1.066,Aten,2017-02-23
0.1638,2017-02-16,22.2,0.375,1.245,Aten,2017-02-22
0.01142,2017-02-16,27.2,0.805,1.307,Aten,2017-02-22
0.01692,2017-02-16,26.8,0.314,1.05,Aten,2017-02-22
0.00162,2017-02-16,23.9,0.629,1.025,Aten,2017-02-15
0.05146,2017-02-16,25.9,0.942,1.054,Aten,2017-01-31
0.20297,2017-02-16,22.5,0.572,1.047,Aten,2017-01-31
0.04129,2017-02-16,24.9,0.853,1.21,Aten,2017-01-31
0.16589,2017-02-16,23.1,0.586,1.077,Aten,2017-01-31
0.00101,2017-02-16,27.3,0.633,1.377,Aten,2017-01-30
0.1203,2017-02-16,23.9,0.713,1.279,Aten,2017-01-28
0.00933,2017-02-16,25.2,0.794,1.142,Aten,2017-01-26
0.04862,2017-02-16,21.7,0.65,1.169,Aten,2017-01-26
0.00759,2017-02-16,27.9,0.742,1.223,Aten,2017-01-27
0.01019,2017-02-16,27.9,0.587,1.139,Aten,2017-01-26
0.01401,2017-02-16,26.1,0.678,1.177,Aten,2017-01-26
0.00929,2017-02-16,23,0.806,1.195,Aten,2017-01-22
0.14683,2017-02-16,22,0.682,1.154,Aten,2017-01-04
0.00006,2017-02-16,26.1,0.55,1.175,Aten,2017-01-07
0.00521,2017-02-16,26.1,0.661,1.376,Aten,2016-12-23
0.03155,2017-02-16,23.7,0.826,1.079,Aten,2016-12-19
0.00773,2017-02-16,25.5,0.358,1.137,Aten,2016-12-18
0.13373,2016-11-28,20.4,0.154,1.005,Aten,2016-12-11
0.06166,2017-02-16,25.3,0.771,1.006,Aten,2016-12-06
0.04359,2017-02-16,23.9,0.629,1.056,Aten,2016-12-04
0.08058,2016-11-28,20.2,0.558,1.064,Aten,2016-11-18
0.07601,2017-02-16,23.9,0.829,1.092,Aten,2016-11-25
0.01192,2017-02-16,25.2,0.468,1.082,Aten,2016-11-25
0.04122,2017-02-16,24.8,0.805,1.207,Aten,2016-11-25
0.00954,2017-02-16,27.9,0.721,1.028,Aten,2016-11-24
0.00361,2017-02-16,26,0.745,1.042,Aten,2016-11-25
0.00329,2017-02-16,28.8,0.666,1.163,Aten,2016-11-24
0.00425,2017-02-16,29.4,0.7,1.081,Aten,2016-11-19
0.00887,2017-02-16,26.5,0.653,0.993,Aten,2016-11-18
0.24733,2017-02-16,19,0.318,1.164,Aten,2016-11-10
0.25105,2017-02-16,21.9,0.446,1.589,Aten,2016-11-06
0.02084,2017-02-16,25.7,0.735,1.527,Aten,2016-11-05
0.00769,2017-02-16,23,0.561,1.129,Aten,2016-11-05
0.00189,2017-02-16,28.6,0.514,1.405,Aten,2016-11-05
0.00365,2017-02-16,26.7,0.59,0.995,Aten,2016-11-02
0.00115,2017-02-16,27.3,0.431,1.211,Aten,2016-11-01
0.05231,2017-02-16,24.4,0.71,1.418,Aten,2016-10-31
0.08551,2017-02-16,23.9,0.654,1.174,Aten,2016-10-30
0.04275,2017-02-16,25.3,0.799,1.206,Aten,2016-10-27
0.0753,2017-02-16,24.7,0.763,1.094,Aten,2016-10-25
0.04439,2017-02-16,24.6,0.835,1.097,Aten,2016-10-23
0.04318,2017-02-16,25.8,0.777,1.075,Aten,2016-10-21
0.04318,2017-02-16,26.7,0.496,1.127,Aten,2016-10-21
0.00776,2017-02-16,25.8,0.719,1.386,Aten,2016-10-20
0.06975,2017-02-16,24.4,0.513,1.078,Aten,2016-10-19
0.00943,2017-02-16,20.8,0.364,1.096,Aten,2016-10-16
0.1148,2016-09-29,24.6,0.509,1.144,Aten,2016-10-09
0.02695,2017-02-16,20.8,0.412,1.142,Aten,2016-10-09
0.01676,2017-02-16,21.9,0.536,1.386,Aten,2016-10-08
0.01907,2017-02-16,27.2,0.67,1.413,Aten,2016-10-08
0.00064,2017-02-16,23.1,0.396,1.215,Aten,2016-10-04
0.01844,2017-02-16,24.4,0.523,1.497,Aten,2016-10-04
0.01493,2017-02-16,27.3,0.759,1.099,Aten,2016-09-25
0.02402,2017-02-16,24.9,0.37,1.066,Aten,2016-09-26
0.00695,2017-02-16,25,0.801,1.161,Aten,2016-09-25
0.07285,2017-02-16,27.6,0.52,1.178,Aten,2016-09-11
0.00181,2017-02-16,28.6,0.75,1.274,Aten,2016-09-10
0.00573,2017-02-16,24.5,0.652,1.008,Aten,2016-09-08
0.02714,2017-02-16,24.4,0.523,1.231,Aten,2016-09-05
0.00814,2017-02-16,23.6,0.442,1.133,Aten,2016-09-04
0.00163,2017-02-16,26.5,0.573,1.408,Aten,2016-09-04
0.04438,2017-02-16,23,0.349,1.142,Aten,2016-09-05
0.03659,2017-02-16,21.9,0.853,1.273,Aten,2016-09-03
0.00017,2017-02-16,28.3,0.628,1.067,Aten,2016-09-02
0.02426,2017-02-16,26.7,0.732,1.069,Aten,2016-08-27
0.05602,2017-02-16,24.4,0.88,1.174,Aten,2016-08-02
0.0127,2017-02-16,25.1,0.717,1.17,Aten,2016-08-02
0.04866,2017-02-16,22.9,0.432,1.144,Aten,2016-07-09
0.07114,2017-02-16,28.4,0.574,1.093,Aten,2016-07-09
0.01235,2017-02-16,19.4,0.418,1.127,Aten,2016-07-05
0.00135,2017-02-16,25.3,0.773,1.326,Aten,2016-07-05
0.1015,2017-02-16,23.9,0.511,1.055,Aten,2016-07-05
0.01876,2016-06-01,26.8,0.811,1.094,Aten,2016-07-03
0.04724,2017-02-16,23.1,0.43,1.179,Aten,2016-06-16
0.0376,2017-02-16,27,0.587,1.093,Aten,2016-06-08
0.02116,2017-02-16,22.6,0.641,1.126,Aten,2016-06-06
0.02104,2017-02-16,25.3,0.361,1.051,Aten,2016-06-02
0.00824,2017-02-16,21.3,0.824,1.296,Aten,2016-06-03
0.02515,2017-02-16,21.7,0.402,1.057,Aten,2016-06-02
0.03282,2017-02-16,26.5,0.921,1.281,Aten,2016-05-22
0.26036,2017-02-16,27.1,0.568,1.154,Aten,2016-05-28
0.02367,2017-02-16,27.7,0.649,1.071,Aten,2016-05-01
0.00285,2017-02-16,25.4,0.563,1.175,Aten,2016-05-11
